state,district,year,month,rain
Maharashtra,Amraoti,2014,May,2
Maharashtra,Amraoti,2014,June,75
Maharashtra,Amraoti,2014,July,173.4
Maharashtra,Amraoti,2014,August,128.9
Maharashtra,Amraoti,2014,September,170.8
Maharashtra,Amraoti,2014,October,28.8
Maharashtra,Amraoti,2014,November,5
Maharashtra,Amraoti,2014,December,0
Maharashtra,Amraoti,2015,January,0
Maharashtra,Amraoti,2015,February,0
Maharashtra,Amraoti,2015,March,0
Maharashtra,Amraoti,2015,April,0
Maharashtra,Amraoti,2015,May,6
Maharashtra,Amraoti,2015,June,70.5
Maharashtra,Amraoti,2015,July,301.7
Maharashtra,Amraoti,2015,August,110.6
Maharashtra,Amraoti,2015,September,87.5
Maharashtra,Amraoti,2015,October,37.9
Maharashtra,Amraoti,2015,November,77.8
Maharashtra,Amraoti,2015,December,6
Maharashtra,Amraoti,2016,January,19.9
Maharashtra,Amraoti,2016,February,3
Maharashtra,Amraoti,2016,March,15.8
Maharashtra,Amraoti,2016,April,0
Maharashtra,Amraoti,2016,May,0
Maharashtra,Amraoti,2016,June,125.9
Maharashtra,Amraoti,2016,July,365.3
Maharashtra,Amraoti,2016,August,371.9
Maharashtra,Amraoti,2016,September,123.6
Maharashtra,Amraoti,2016,October,60.6
Maharashtra,Amraoti,2016,November,15.4
Maharashtra,Amraoti,2016,December,0
Maharashtra,Aurangabad,2010,January,1.1
Maharashtra,Aurangabad,2010,February,0
Maharashtra,Aurangabad,2010,March,0
Maharashtra,Aurangabad,2010,April,0
Maharashtra,Aurangabad,2010,May,3.7
Maharashtra,Aurangabad,2010,June,97
Maharashtra,Aurangabad,2010,July,190.9
Maharashtra,Aurangabad,2010,August,99.3
Maharashtra,Aurangabad,2010,September,250.8
Maharashtra,Aurangabad,2010,October,68.8
Maharashtra,Aurangabad,2010,November,3.4
Maharashtra,Aurangabad,2010,December,0
Maharashtra,Aurangabad,2011,January,0.2
Maharashtra,Aurangabad,2011,February,0.1
Maharashtra,Aurangabad,2011,March,0.9
Maharashtra,Aurangabad,2011,April,0
Maharashtra,Aurangabad,2011,May,1.4
Maharashtra,Aurangabad,2011,June,43
Maharashtra,Aurangabad,2011,July,254.2
Maharashtra,Aurangabad,2011,August,106.3
Maharashtra,Aurangabad,2011,September,224.7
Maharashtra,Aurangabad,2011,October,68.7
Maharashtra,Aurangabad,2011,November,0
Maharashtra,Aurangabad,2011,December,0
Maharashtra,Aurangabad,2012,January,0
Maharashtra,Aurangabad,2012,February,0
Maharashtra,Aurangabad,2012,March,3.2
Maharashtra,Aurangabad,2012,April,0
Maharashtra,Aurangabad,2012,May,15.6
Maharashtra,Aurangabad,2012,June,214.7
Maharashtra,Aurangabad,2012,July,200.7
Maharashtra,Aurangabad,2012,August,282.7
Maharashtra,Aurangabad,2012,September,233
Maharashtra,Aurangabad,2012,October,56.2
Maharashtra,Aurangabad,2012,November,7.8
Maharashtra,Aurangabad,2012,December,0
Maharashtra,Aurangabad,2013,January,0
Maharashtra,Aurangabad,2013,February,0
Maharashtra,Aurangabad,2013,March,0
Maharashtra,Aurangabad,2013,April,1.8
Maharashtra,Aurangabad,2013,May,0
Maharashtra,Aurangabad,2013,June,134.1
Maharashtra,Aurangabad,2013,July,162.8
Maharashtra,Aurangabad,2013,August,123
Maharashtra,Aurangabad,2013,September,156
Maharashtra,Aurangabad,2013,October,0
Maharashtra,Aurangabad,2013,November,9.1
Maharashtra,Aurangabad,2013,December,0
Maharashtra,Aurangabad,2014,January,0
Maharashtra,Aurangabad,2014,February,0
Maharashtra,Aurangabad,2014,March,39
Maharashtra,Aurangabad,2014,April,1.8
Maharashtra,Aurangabad,2014,May,0
Maharashtra,Aurangabad,2014,June,73.5
Maharashtra,Aurangabad,2014,July,88
Maharashtra,Aurangabad,2014,August,123.9
Maharashtra,Aurangabad,2014,September,314.4
Maharashtra,Aurangabad,2014,October,40
Maharashtra,Aurangabad,2014,November,3
Maharashtra,Aurangabad,2014,December,0.6
Maharashtra,Aurangabad,2015,January,0
Maharashtra,Aurangabad,2015,February,0
Maharashtra,Aurangabad,2015,March,0.1
Maharashtra,Aurangabad,2015,April,0.5
Maharashtra,Aurangabad,2015,May,14.1
Maharashtra,Aurangabad,2015,June,34.3
Maharashtra,Aurangabad,2015,July,181.3
Maharashtra,Aurangabad,2015,August,129.8
Maharashtra,Aurangabad,2015,September,164.5
Maharashtra,Aurangabad,2015,October,53.4
Maharashtra,Aurangabad,2015,November,162.3
Maharashtra,Aurangabad,2015,December,3.3
Maharashtra,Aurangabad,2016,January,27
Maharashtra,Aurangabad,2016,February,1.6
Maharashtra,Aurangabad,2016,March,19.2
Maharashtra,Aurangabad,2016,April,0
Maharashtra,Aurangabad,2016,May,2.5
Maharashtra,Aurangabad,2016,June,158.6
Maharashtra,Aurangabad,2016,July,246.3
Maharashtra,Aurangabad,2016,August,252.6
Maharashtra,Aurangabad,2016,September,107.4
Maharashtra,Aurangabad,2016,October,45.6
Maharashtra,Aurangabad,2016,November,78
Maharashtra,Aurangabad,2016,December,0
Maharashtra,Beed,2010,January,0
Maharashtra,Beed,2010,February,0
Maharashtra,Beed,2010,March,0
Maharashtra,Beed,2010,April,0
Maharashtra,Beed,2010,May,2.4
Maharashtra,Beed,2010,June,175.8
Maharashtra,Beed,2010,July,204.2
Maharashtra,Beed,2010,August,52.3
Maharashtra,Beed,2010,September,158.8
Maharashtra,Beed,2010,October,68.7
Maharashtra,Beed,2010,November,0
Maharashtra,Beed,2010,December,0
Maharashtra,Beed,2011,January,0
Maharashtra,Beed,2011,February,0
Maharashtra,Beed,2011,March,0
Maharashtra,Beed,2011,April,0
Maharashtra,Beed,2011,May,0
Maharashtra,Beed,2011,June,57.6
Maharashtra,Beed,2011,July,328.8
Maharashtra,Beed,2011,August,63.1
Maharashtra,Beed,2011,September,210.3
Maharashtra,Beed,2011,October,15.3
Maharashtra,Beed,2011,November,0
Maharashtra,Beed,2011,December,0
Maharashtra,Beed,2012,January,0
Maharashtra,Beed,2012,February,0
Maharashtra,Beed,2012,March,0
Maharashtra,Beed,2012,April,0
Maharashtra,Beed,2012,May,0
Maharashtra,Beed,2012,June,83.5
Maharashtra,Beed,2012,July,60.4
Maharashtra,Beed,2012,August,233
Maharashtra,Beed,2012,September,262.1
Maharashtra,Beed,2012,October,57.6
Maharashtra,Beed,2012,November,0
Maharashtra,Beed,2012,December,0
Maharashtra,Beed,2013,January,0
Maharashtra,Beed,2013,February,0
Maharashtra,Beed,2013,March,0
Maharashtra,Beed,2013,April,0
Maharashtra,Beed,2013,May,0
Maharashtra,Beed,2013,June,80.5
Maharashtra,Beed,2013,July,99
Maharashtra,Beed,2013,August,105.7
Maharashtra,Beed,2013,September,284.5
Maharashtra,Beed,2013,October,0
Maharashtra,Beed,2013,November,0
Maharashtra,Beed,2013,December,0
Maharashtra,Beed,2014,January,0
Maharashtra,Beed,2014,February,0
Maharashtra,Beed,2014,March,0
Maharashtra,Beed,2014,April,0
Maharashtra,Beed,2014,May,0
Maharashtra,Beed,2014,June,44.8
Maharashtra,Beed,2014,July,81.3
Maharashtra,Beed,2014,August,164.2
Maharashtra,Beed,2014,September,289.8
Maharashtra,Beed,2014,October,27
Maharashtra,Beed,2014,November,0
Maharashtra,Beed,2014,December,0
Maharashtra,Beed,2015,January,0
Maharashtra,Beed,2015,February,0
Maharashtra,Beed,2015,March,0
Maharashtra,Beed,2015,April,0
Maharashtra,Beed,2015,May,13.8
Maharashtra,Beed,2015,June,84.6
Maharashtra,Beed,2015,July,150.9
Maharashtra,Beed,2015,August,152.7
Maharashtra,Beed,2015,September,230.8
Maharashtra,Beed,2015,October,77.2
Maharashtra,Beed,2015,November,94.2
Maharashtra,Beed,2015,December,21.8
Maharashtra,Beed,2016,January,0
Maharashtra,Beed,2016,February,0
Maharashtra,Beed,2016,March,0
Maharashtra,Beed,2016,April,0
Maharashtra,Beed,2016,May,11.2
Maharashtra,Beed,2016,June,143
Maharashtra,Beed,2016,July,254.2
Maharashtra,Beed,2016,August,235
Maharashtra,Beed,2016,September,166
Maharashtra,Beed,2016,October,94.5
Maharashtra,Beed,2016,November,33
Maharashtra,Beed,2016,December,4.5
Maharashtra,Bhandara,2010,January,51.2
Maharashtra,Bhandara,2010,February,2.1
Maharashtra,Bhandara,2010,March,0
Maharashtra,Bhandara,2010,April,4.6
Maharashtra,Bhandara,2010,May,16.6
Maharashtra,Bhandara,2010,June,126.2
Maharashtra,Bhandara,2010,July,268
Maharashtra,Bhandara,2010,August,218.8
Maharashtra,Bhandara,2010,September,93.8
Maharashtra,Bhandara,2010,October,0.4
Maharashtra,Bhandara,2010,November,0
Maharashtra,Bhandara,2010,December,0
Maharashtra,Bhandara,2011,January,11.5
Maharashtra,Bhandara,2011,February,119.1
Maharashtra,Bhandara,2011,March,2.1
Maharashtra,Bhandara,2011,April,8.1
Maharashtra,Bhandara,2011,May,14.6
Maharashtra,Bhandara,2011,June,253.4
Maharashtra,Bhandara,2011,July,445.7
Maharashtra,Bhandara,2011,August,367.8
Maharashtra,Bhandara,2011,September,457.3
Maharashtra,Bhandara,2011,October,117.9
Maharashtra,Bhandara,2011,November,0
Maharashtra,Bhandara,2011,December,0
Maharashtra,Bhandara,2012,January,0
Maharashtra,Bhandara,2012,February,0
Maharashtra,Bhandara,2012,March,42.3
Maharashtra,Bhandara,2012,April,32.4
Maharashtra,Bhandara,2012,May,40.6
Maharashtra,Bhandara,2012,June,73.1
Maharashtra,Bhandara,2012,July,552.4
Maharashtra,Bhandara,2012,August,413.8
Maharashtra,Bhandara,2012,September,189.7
Maharashtra,Bhandara,2012,October,3
Maharashtra,Bhandara,2012,November,0
Maharashtra,Bhandara,2012,December,0
Maharashtra,Bhandara,2013,January,0
Maharashtra,Bhandara,2013,February,0
Maharashtra,Bhandara,2013,March,0
Maharashtra,Bhandara,2013,April,0
Maharashtra,Bhandara,2013,May,0
Maharashtra,Bhandara,2013,June,250.7
Maharashtra,Bhandara,2013,July,307.3
Maharashtra,Bhandara,2013,August,218.7
Maharashtra,Bhandara,2013,September,212.5
Maharashtra,Bhandara,2013,October,20.1
Maharashtra,Bhandara,2013,November,0
Maharashtra,Bhandara,2013,December,0
Maharashtra,Bhandara,2014,January,0
Maharashtra,Bhandara,2014,February,0
Maharashtra,Bhandara,2014,March,0
Maharashtra,Bhandara,2014,April,0
Maharashtra,Bhandara,2014,May,0
Maharashtra,Bhandara,2014,June,179.1
Maharashtra,Bhandara,2014,July,308.3
Maharashtra,Bhandara,2014,August,295.1
Maharashtra,Bhandara,2014,September,98.3
Maharashtra,Bhandara,2014,October,0.7
Maharashtra,Bhandara,2014,November,0
Maharashtra,Bhandara,2014,December,0
Maharashtra,Bhandara,2015,January,0
Maharashtra,Bhandara,2015,February,0
Maharashtra,Bhandara,2015,March,0
Maharashtra,Bhandara,2015,April,0
Maharashtra,Bhandara,2015,May,0
Maharashtra,Bhandara,2015,June,71.7
Maharashtra,Bhandara,2015,July,481.6
Maharashtra,Bhandara,2015,August,223
Maharashtra,Bhandara,2015,September,133.8
Maharashtra,Bhandara,2015,October,17.9
Maharashtra,Bhandara,2015,November,82.8
Maharashtra,Bhandara,2015,December,10.7
Maharashtra,Bhandara,2016,January,9.1
Maharashtra,Bhandara,2016,February,22
Maharashtra,Bhandara,2016,March,13.8
Maharashtra,Bhandara,2016,April,0
Maharashtra,Bhandara,2016,May,0
Maharashtra,Bhandara,2016,June,164.8
Maharashtra,Bhandara,2016,July,562.2
Maharashtra,Bhandara,2016,August,316.3
Maharashtra,Bhandara,2016,September,317.3
Maharashtra,Bhandara,2016,October,65
Maharashtra,Bhandara,2016,November,45.3
Maharashtra,Bhandara,2016,December,1.8
Maharashtra,Buldana,2010,January,10.8
Maharashtra,Buldana,2010,February,0
Maharashtra,Buldana,2010,March,0
Maharashtra,Buldana,2010,April,0
Maharashtra,Buldana,2010,May,31.7
Maharashtra,Buldana,2010,June,115.1
Maharashtra,Buldana,2010,July,165.3
Maharashtra,Buldana,2010,August,135.2
Maharashtra,Buldana,2010,September,114.6
Maharashtra,Buldana,2010,October,37.3
Maharashtra,Buldana,2010,November,6.3
Maharashtra,Buldana,2010,December,0
Maharashtra,Buldana,2011,January,11.7
Maharashtra,Buldana,2011,February,10.8
Maharashtra,Buldana,2011,March,1
Maharashtra,Buldana,2011,April,10.6
Maharashtra,Buldana,2011,May,0
Maharashtra,Buldana,2011,June,37.7
Maharashtra,Buldana,2011,July,191.4
Maharashtra,Buldana,2011,August,130
Maharashtra,Buldana,2011,September,141.6
Maharashtra,Buldana,2011,October,39.2
Maharashtra,Buldana,2011,November,0
Maharashtra,Buldana,2011,December,0
Maharashtra,Buldana,2012,January,0
Maharashtra,Buldana,2012,February,0
Maharashtra,Buldana,2012,March,78.2
Maharashtra,Buldana,2012,April,0
Maharashtra,Buldana,2012,May,36.3
Maharashtra,Buldana,2012,June,106.7
Maharashtra,Buldana,2012,July,191.5
Maharashtra,Buldana,2012,August,465.5
Maharashtra,Buldana,2012,September,146.6
Maharashtra,Buldana,2012,October,40.1
Maharashtra,Buldana,2012,November,12.9
Maharashtra,Buldana,2012,December,0
Maharashtra,Buldana,2013,January,0
Maharashtra,Buldana,2013,February,0
Maharashtra,Buldana,2013,March,0
Maharashtra,Buldana,2013,April,1
Maharashtra,Buldana,2013,May,0.8
Maharashtra,Buldana,2013,June,96.4
Maharashtra,Buldana,2013,July,238.3
Maharashtra,Buldana,2013,August,174
Maharashtra,Buldana,2013,September,168
Maharashtra,Buldana,2013,October,0
Maharashtra,Buldana,2013,November,0
Maharashtra,Buldana,2013,December,0
Maharashtra,Buldana,2014,January,0
Maharashtra,Buldana,2014,February,0
Maharashtra,Buldana,2014,March,8
Maharashtra,Buldana,2014,April,0
Maharashtra,Buldana,2014,May,0
Maharashtra,Buldana,2014,June,78.7
Maharashtra,Buldana,2014,July,157.4
Maharashtra,Buldana,2014,August,117.4
Maharashtra,Buldana,2014,September,235.5
Maharashtra,Buldana,2014,October,37.2
Maharashtra,Buldana,2014,November,0
Maharashtra,Buldana,2014,December,0
Maharashtra,Buldana,2015,January,0
Maharashtra,Buldana,2015,February,0
Maharashtra,Buldana,2015,March,82
Maharashtra,Buldana,2015,April,0
Maharashtra,Buldana,2015,May,4
Maharashtra,Buldana,2015,June,85
Maharashtra,Buldana,2015,July,235.1
Maharashtra,Buldana,2015,August,172.4
Maharashtra,Buldana,2015,September,60.9
Maharashtra,Buldana,2015,October,79.7
Maharashtra,Buldana,2015,November,110.3
Maharashtra,Buldana,2015,December,11.9
Maharashtra,Buldana,2016,January,10.7
Maharashtra,Buldana,2016,February,2.5
Maharashtra,Buldana,2016,March,13.3
Maharashtra,Buldana,2016,April,0
Maharashtra,Buldana,2016,May,0
Maharashtra,Buldana,2016,June,170.9
Maharashtra,Buldana,2016,July,372.3
Maharashtra,Buldana,2016,August,285.8
Maharashtra,Buldana,2016,September,99.5
Maharashtra,Buldana,2016,October,44.5
Maharashtra,Buldana,2016,November,23.8
Maharashtra,Buldana,2016,December,0
Maharashtra,Chandrapur,2010,January,42.8
Maharashtra,Chandrapur,2010,February,4.3
Maharashtra,Chandrapur,2010,March,0.1
Maharashtra,Chandrapur,2010,April,5.1
Maharashtra,Chandrapur,2010,May,26.3
Maharashtra,Chandrapur,2010,June,127.5
Maharashtra,Chandrapur,2010,July,238.9
Maharashtra,Chandrapur,2010,August,244.4
Maharashtra,Chandrapur,2010,September,114.8
Maharashtra,Chandrapur,2010,October,14.8
Maharashtra,Chandrapur,2010,November,17
Maharashtra,Chandrapur,2010,December,0
Maharashtra,Chandrapur,2011,January,135
Maharashtra,Chandrapur,2011,February,16.9
Maharashtra,Chandrapur,2011,March,11
Maharashtra,Chandrapur,2011,April,11.9
Maharashtra,Chandrapur,2011,May,13.7
Maharashtra,Chandrapur,2011,June,197.1
Maharashtra,Chandrapur,2011,July,529.1
Maharashtra,Chandrapur,2011,August,304.2
Maharashtra,Chandrapur,2011,September,263.6
Maharashtra,Chandrapur,2011,October,107.6
Maharashtra,Chandrapur,2011,November,0
Maharashtra,Chandrapur,2011,December,12.7
Maharashtra,Chandrapur,2012,January,0
Maharashtra,Chandrapur,2012,February,0
Maharashtra,Chandrapur,2012,March,65.3
Maharashtra,Chandrapur,2012,April,49.7
Maharashtra,Chandrapur,2012,May,38.5
Maharashtra,Chandrapur,2012,June,147.6
Maharashtra,Chandrapur,2012,July,455.5
Maharashtra,Chandrapur,2012,August,336.5
Maharashtra,Chandrapur,2012,September,143.3
Maharashtra,Chandrapur,2012,October,27.6
Maharashtra,Chandrapur,2012,November,6.3
Maharashtra,Chandrapur,2012,December,0
Maharashtra,Chandrapur,2013,January,0
Maharashtra,Chandrapur,2013,February,0
Maharashtra,Chandrapur,2013,March,9.8
Maharashtra,Chandrapur,2013,April,22.8
Maharashtra,Chandrapur,2013,May,10.1
Maharashtra,Chandrapur,2013,June,343.1
Maharashtra,Chandrapur,2013,July,339.5
Maharashtra,Chandrapur,2013,August,386.3
Maharashtra,Chandrapur,2013,September,264.1
Maharashtra,Chandrapur,2013,October,73.1
Maharashtra,Chandrapur,2013,November,6.4
Maharashtra,Chandrapur,2013,December,0
Maharashtra,Chandrapur,2014,January,2.6
Maharashtra,Chandrapur,2014,February,12.7
Maharashtra,Chandrapur,2014,March,53.5
Maharashtra,Chandrapur,2014,April,2.9
Maharashtra,Chandrapur,2014,May,3.2
Maharashtra,Chandrapur,2014,June,141.5
Maharashtra,Chandrapur,2014,July,318.2
Maharashtra,Chandrapur,2014,August,398.6
Maharashtra,Chandrapur,2014,September,133.9
Maharashtra,Chandrapur,2014,October,7.3
Maharashtra,Chandrapur,2014,November,0
Maharashtra,Chandrapur,2014,December,0
Maharashtra,Chandrapur,2015,January,0
Maharashtra,Chandrapur,2015,February,0
Maharashtra,Chandrapur,2015,March,1.8
Maharashtra,Chandrapur,2015,April,7.4
Maharashtra,Chandrapur,2015,May,12.9
Maharashtra,Chandrapur,2015,June,64.3
Maharashtra,Chandrapur,2015,July,335.8
Maharashtra,Chandrapur,2015,August,186
Maharashtra,Chandrapur,2015,September,64.8
Maharashtra,Chandrapur,2015,October,49.7
Maharashtra,Chandrapur,2015,November,37.8
Maharashtra,Chandrapur,2015,December,0.6
Maharashtra,Chandrapur,2016,January,8.7
Maharashtra,Chandrapur,2016,February,14.1
Maharashtra,Chandrapur,2016,March,12.7
Maharashtra,Chandrapur,2016,April,4.5
Maharashtra,Chandrapur,2016,May,0
Maharashtra,Chandrapur,2016,June,158.5
Maharashtra,Chandrapur,2016,July,504.8
Maharashtra,Chandrapur,2016,August,485.1
Maharashtra,Chandrapur,2016,September,357.4
Maharashtra,Chandrapur,2016,October,62.4
Maharashtra,Chandrapur,2016,November,42.5
Maharashtra,Chandrapur,2016,December,5.4
Maharashtra,Dhulie,2010,January,0
Maharashtra,Dhulie,2010,February,0
Maharashtra,Dhulie,2010,March,0
Maharashtra,Dhulie,2010,April,0
Maharashtra,Dhulie,2010,May,24.3
Maharashtra,Dhulie,2010,June,140.3
Maharashtra,Dhulie,2010,July,196.2
Maharashtra,Dhulie,2010,August,222.5
Maharashtra,Dhulie,2010,September,138.2
Maharashtra,Dhulie,2010,October,72
Maharashtra,Dhulie,2010,November,0
Maharashtra,Dhulie,2010,December,0
Maharashtra,Dhulie,2011,January,0
Maharashtra,Dhulie,2011,February,0
Maharashtra,Dhulie,2011,March,0
Maharashtra,Dhulie,2011,April,0
Maharashtra,Dhulie,2011,May,0
Maharashtra,Dhulie,2011,June,152.5
Maharashtra,Dhulie,2011,July,133.7
Maharashtra,Dhulie,2011,August,48.1
Maharashtra,Dhulie,2011,September,216
Maharashtra,Dhulie,2011,October,8
Maharashtra,Dhulie,2011,November,0
Maharashtra,Dhulie,2011,December,0
Maharashtra,Dhulie,2012,January,0
Maharashtra,Dhulie,2012,February,0
Maharashtra,Dhulie,2012,March,0
Maharashtra,Dhulie,2012,April,0
Maharashtra,Dhulie,2012,May,0
Maharashtra,Dhulie,2012,June,124
Maharashtra,Dhulie,2012,July,274.8
Maharashtra,Dhulie,2012,August,269.1
Maharashtra,Dhulie,2012,September,231.9
Maharashtra,Dhulie,2012,October,38.3
Maharashtra,Dhulie,2012,November,4.4
Maharashtra,Dhulie,2012,December,0
Maharashtra,Dhulie,2013,January,0
Maharashtra,Dhulie,2013,February,0
Maharashtra,Dhulie,2013,March,0
Maharashtra,Dhulie,2013,April,0
Maharashtra,Dhulie,2013,May,0
Maharashtra,Dhulie,2013,June,117
Maharashtra,Dhulie,2013,July,179.5
Maharashtra,Dhulie,2013,August,127.3
Maharashtra,Dhulie,2013,September,174.3
Maharashtra,Dhulie,2013,October,0
Maharashtra,Dhulie,2013,November,0
Maharashtra,Dhulie,2013,December,0
Maharashtra,Dhulie,2014,January,0
Maharashtra,Dhulie,2014,February,0
Maharashtra,Dhulie,2014,March,0
Maharashtra,Dhulie,2014,April,0
Maharashtra,Dhulie,2014,May,0
Maharashtra,Dhulie,2014,June,19.5
Maharashtra,Dhulie,2014,July,153.3
Maharashtra,Dhulie,2014,August,80
Maharashtra,Dhulie,2014,September,211
Maharashtra,Dhulie,2014,October,8.3
Maharashtra,Dhulie,2014,November,0
Maharashtra,Dhulie,2014,December,0
Maharashtra,Dhulie,2015,January,0
Maharashtra,Dhulie,2015,February,0
Maharashtra,Dhulie,2015,March,0
Maharashtra,Dhulie,2015,April,0
Maharashtra,Dhulie,2015,May,0
Maharashtra,Dhulie,2015,June,60.8
Maharashtra,Dhulie,2015,July,187.3
Maharashtra,Dhulie,2015,August,113.3
Maharashtra,Dhulie,2015,September,155.3
Maharashtra,Dhulie,2015,October,49
Maharashtra,Dhulie,2015,November,87.5
Maharashtra,Dhulie,2015,December,19.8
Maharashtra,Dhulie,2016,January,0
Maharashtra,Dhulie,2016,February,0
Maharashtra,Dhulie,2016,March,1
Maharashtra,Dhulie,2016,April,0
Maharashtra,Dhulie,2016,May,8.3
Maharashtra,Dhulie,2016,June,80.8
Maharashtra,Dhulie,2016,July,201.3
Maharashtra,Dhulie,2016,August,167.3
Maharashtra,Dhulie,2016,September,59
Maharashtra,Dhulie,2016,October,41
Maharashtra,Dhulie,2016,November,81.2
Maharashtra,Dhulie,2016,December,0
Maharashtra,Gadchiroli,2010,January,72.2
Maharashtra,Gadchiroli,2010,February,12.3
