N,P,K,ph,ec,fertility
31,5.9,581,7.33,0.71,0
69,6.8,465,7.51,0.46,0
182,7.5,391,7.57,0.53,0
19,6.4,454,7.49,0.6,0
132,5.5,655,7.31,0.71,0
163,7.7,517,7.32,0.49,0
182,8.1,507,7.23,0.73,0
295,5.5,433,7.34,0.46,1
201,5.7,253,7.51,0.63,0
6,5,465,7.47,0.42,0
56,6.6,401,7.46,0.57,0
132,8.3,444,7.62,0.43,0
69,8.1,338,7.5,0.63,0
270,7,391,7.4,0.61,1
326,7.5,401,7.3,0.23,1
351,8.6,454,7.5,0.38,1
13,8.3,644,7.5,0.71,0
314,8.1,454,7.4,0.59,1
282,8.3,465,7.4,0.76,1
6,7.5,412,7.4,0.41,0
270,8.6,486,7.4,0.67,1
220,5.5,539,7.6,0.42,0
151,4.8,454,7.3,0.77,0
201,5.3,507,7.6,0.53,0
151,5.9,581,7.6,0.48,0
75,7.9,327,7.8,0.66,0
232,5.9,275,7.7,0.43,0
207,7.5,549,7.7,0.72,0
264,6.4,496,7.9,0.38,1
188,5,454,7.6,0.74,0
326,6.8,486,7.8,0.82,1
295,4.8,327,7.6,0.43,1
126,8.6,454,7.7,0.62,0
207,6.8,327,7.6,0.71,0
213,7.2,338,7.7,0.43,0
69,4.4,507,7.7,0.53,0
220,5.9,539,7.5,0.42,0
163,8.1,496,7.5,0.77,0
138,6.1,348,7.4,0.41,0
88,7.5,444,7.5,0.76,0
195,4.8,422,7.4,0.52,0
251,6.8,391,7.6,0.36,0
207,7.5,412,7.4,0.61,0
195,6.6,433,7.5,0.6,0
220,4.6,401,7.7,0.52,0
251,7.5,380,7.6,0.76,0
238,7,570,7.7,0.53,0
119,8.3,444,7.6,0.76,0
163,5.9,444,7.5,0.53,0
207,8.3,612,7.5,0.46,0
138,5.9,602,7.5,0.42,0
126,7.2,433,7.5,0.65,0
157,6.8,475,7.4,0.45,0
201,6.6,655,7.6,0.64,0
257,8.6,465,7.4,0.44,0
201,7.7,327,7.5,0.6,0
257,6.4,422,7.5,0.59,0
251,8.1,539,7.6,0.72,0
201,4.8,496,7.5,0.53,0
333,7,422,7.5,0.48,1
320,8.3,359,7.4,0.53,1
232,5,560,7.4,0.76,0
326,5.3,549,7.6,0.82,1
195,5.5,507,7.4,0.61,0
345,6.8,496,7.7,0.57,1
257,8.1,634,7.6,0.81,1
251,4.8,444,7.4,0.54,0
226,6.1,644,7.4,0.56,0
264,7.2,496,7.6,0.62,1
213,6.8,612,7.7,0.6,0
132,6.4,517,7.5,0.61,0
195,6.6,750,7.5,0.53,0
50,8.1,454,7.6,0.74,0
201,5.3,634,7.5,0.68,0
100,8.3,676,7.6,0.59,0
232,7,444,7.6,0.62,0
69,5.9,612,7.6,0.52,0
31,4.6,581,7.5,0.63,0
63,8.3,496,7.4,0.62,0
132,8.1,433,7.5,0.51,0
201,8.6,507,7.7,0.72,0
358,8.3,338,7.4,0.64,1
63,7,422,7.6,0.57,0
195,7.5,444,7.5,0.64,0
207,5.9,507,7.5,0.55,0
126,8.3,496,7.6,0.61,0
88,7.2,391,7.6,0.63,0
163,9,338,7.5,0.47,0
138,7.7,454,7.6,0.58,0
188,4.6,549,7.7,0.53,0
195,8.3,475,7.6,0.42,0
195,8.1,327,7.61,0.67,0
264,7.2,444,7.47,0.45,1
182,7.7,507,7.46,0.53,0
188,5.3,496,7.52,0.44,0
132,6.8,570,7.43,0.52,0
213,5.3,433,7.48,0.77,0
144,8.3,370,7.46,0.68,0
182,5.9,549,7.57,0.78,0
182,4.8,433,7.62,0.44,0
132,7.2,560,7.54,0.81,0
138,6.1,454,7.73,0.66,0
207,5.9,391,7.58,0.78,0
113,5,370,7.6,0.82,0
220,7,359,7.67,0.78,0
126,8.1,338,7.4,0.67,0
163,6.8,327,7.37,0.51,0
201,7.7,454,7.31,0.44,0
100,8.3,570,7.44,0.41,0
69,7,560,7.36,0.47,0
289,7.9,465,7.42,0.43,1
333,7.5,507,7.53,0.54,0
314,7.2,391,7.61,0.52,1
301,6.8,496,7.57,0.68,1
289,8.3,507,7.45,0.49,1
220,5.9,454,7.43,0.67,0
232,7.7,549,7.38,0.43,0
176,7.5,539,7.54,0.65,0
188,6.4,496,7.59,0.48,0
88,6.8,539,7.43,0.52,0
82,7.5,507,7.61,0.47,0
169,5.9,338,7.57,0.41,0
245,6.1,496,7.42,0.58,0
270,7.9,253,7.48,0.57,1
345,8.1,338,7.31,0.41,1
333,7.7,275,7.54,0.55,1
282,6.8,306,7.29,0.62,1
282,8.3,486,7.47,0.51,1
270,8.1,296,7.41,0.63,1
289,6.1,359,7.39,0.58,1
201,7.5,391,7.41,0.54,0
213,8.3,444,7.35,0.67,0
270,6.4,539,7.57,0.61,1
207,5.9,348,7.54,0.59,0
295,8.3,602,7.68,0.51,1
251,5.3,338,7.73,0.57,0
276,6.8,507,7.51,0.41,1
163,7.5,359,7.62,0.67,0
213,7,327,7.71,0.67,0
207,6.1,454,7.4,0.43,0
200,6.8,391,7.67,0.72,0
301,7.2,412,7.71,0.64,1
188,6.4,422,7.78,0.56,0
201,7.5,465,7.71,0.48,0
207,5.9,243,7.62,0.45,0
307,6.6,401,7.53,0.71,1
207,7.7,380,7.64,0.67,0
326,8.3,285,7.38,0.82,1
270,6.8,296,7.59,0.33,1
195,4.8,496,7.43,0.67,0
182,8.3,338,7.61,0.58,0
295,4.8,348,7.77,0.61,1
151,7.5,327,7.63,0.73,0
333,5.9,391,7.44,0.66,1
157,6.4,327,7.45,0.34,0
370,5,496,7.62,0.41,1
163,5.9,317,7.43,0.38,0
377,6.8,327,7.51,0.85,1
264,7.9,391,7.34,0.61,1
358,7.2,359,7.49,0.67,1
320,4.6,422,7.38,0.53,1
126,7.5,444,7.67,0.7,0
333,6.8,327,7.53,0.62,1
213,8.6,348,7.62,0.64,0
245,5.9,285,7.61,0.71,0
157,5,401,7.58,0.45,0
213,5.7,507,7.66,0.63,0
82,7.5,391,7.65,0.78,0
195,5.9,422,7.66,0.53,0
100,6.8,560,7.71,0.67,0
238,5.7,454,7.61,0.62,0
213,59.2,539,7.54,0.44,0
6,7.2,285,7.42,0.53,0
257,6.4,243,7.43,0.58,0
188,5.7,317,7.52,0.62,0
144,8.3,296,7.47,0.58,0
238,6.8,327,7.54,0.43,0
157,5,444,7.33,0.59,0
195,6.8,391,7.48,0.37,0
63,5.9,454,7.53,0.65,0
238,7.2,444,7.51,0.58,0
163,7.5,560,7.43,0.59,0
232,6.1,391,7.47,0.63,0
132,6.8,327,7.71,0.61,0
207,7.5,444,7.64,0.44,0
195,8.1,327,7.62,0.62,0
138,6.6,317,7.53,0.53,0
251,7.5,359,7.41,0.51,0
207,6.8,433,7.57,0.62,0
307,7.2,338,7.41,0.42,1
264,5.3,422,7.67,0.63,0
201,7.5,348,7.63,0.43,0
257,8.1,444,7.62,0.51,0
144,5,327,7.71,0.71,0
251,5.7,275,7.53,0.54,0
182,7.5,338,7.51,0.61,0
289,14.5,549,7.18,0.64,1
75,8.1,327,7.61,0.51,0
220,9,401,7.67,0.62,0
282,7,401,7.71,0.48,1
195,6.6,391,7.65,0.54,0
176,8.6,507,7.67,0.58,0
182,7.7,444,7.72,0.56,0
226,8.3,465,7.68,0.62,0
257,7.9,380,7.7,0.64,0
276,9.2,338,7.71,0.48,1
270,9,475,7.65,0.44,1
295,78.9,454,7.76,0.39,1
232,7,465,7.62,0.54,0
245,9.6,528,7.77,0.52,0
251,9,444,7.65,0.6,0
213,8.6,433,7.63,0.65,0
339,7.5,665,7.6,0.55,1
351,14.9,327,7.4,0.44,1
264,5,486,7.5,0.46,0
358,12.3,612,7.3,0.53,1
370,11.2,655,7.1,0.67,1
333,7,581,7.8,0.68,1
282,9.9,391,7.2,0.52,1
257,7.5,887,7.5,0.29,1
301,12.9,634,7.6,0.6,1
333,6.6,729,7.2,0.31,1
195,11.2,348,7.1,0.52,0
314,11.4,475,7.4,0.31,1
351,6.8,813,7.5,0.43,1
339,8.1,549,7.3,0.36,1
264,14.3,486,7.4,0.65,1
169,5.3,327,7.6,0.34,0
333,7.9,465,7.5,0.68,1
370,9.4,729,7.3,0.59,1
326,6.8,433,7.1,0.57,1
251,10.7,528,7.4,0.42,1
301,4.4,507,7.3,0.31,1
270,10.5,560,7.2,0.3,1
320,7.5,475,7.1,0.34,1
282,9.4,570,7.5,0.65,1
301,9.9,549,7.6,0.33,1
295,7,602,7.2,0.68,1
339,10.3,729,7.4,0.66,1
201,6.6,539,7.5,0.6,0
320,7.9,486,7.6,0.59,1
289,10.7,549,7.3,0.37,1
251,6.8,528,7.2,0.24,0
276,12.7,612,7.4,0.42,1
370,11.8,686,7.5,0.61,1
207,12.3,496,7.6,0.57,0
295,7.2,348,7.8,0.55,1
351,14.7,380,7.9,0.43,1
282,5.5,570,7.3,0.48,1
307,7,422,8,0.56,1
364,8.6,718,7.4,0.53,1
257,13.4,433,7.9,0.51,1
251,10.5,412,7.3,0.59,1
326,9.2,560,7.6,0.64,1
270,6.6,591,7.8,0.3,1
339,9.6,655,7.3,0.35,1
207,7.2,581,8.1,0.32,0
351,9.9,570,7.4,0.36,1
282,8.3,708,7.2,0.68,1
151,6.8,517,7.3,0.75,0
295,9.9,486,7.4,0.21,1
270,7.9,612,7.5,0.45,0
238,3.9,391,7.6,0.57,0
264,9.4,876,7.8,0.38,1
370,9.2,644,7.9,0.61,1
289,7.5,486,7.8,0.46,1
251,9.4,454,7.8,0.39,0
320,8.1,507,8.3,0.65,1
333,7.7,570,7.4,0.37,1
282,4.8,560,7.8,0.45,1
264,7.9,602,7.6,0.49,0
257,6.8,475,7.5,0.41,0
276,12.9,517,7.6,0.48,1
364,8.3,581,7.8,0.43,1
358,11.2,591,7.9,0.59,1
351,11,539,7.3,0.51,1
370,7,623,7.4,0.65,1
314,7.2,528,7.9,0.69,1
201,6.8,433,7.23,0.33,0
213,7.5,475,7.16,0.3,0
169,8.3,570,7.03,0.36,0
201,5.9,560,7,0.42,0
270,5,602,7,0.36,0
238,7,475,6.96,0.44,0
176,6.1,444,9.97,0.35,0
245,8.6,454,7,0.36,0
201,7.2,454,7.16,0.4,0
207,7.2,655,7.02,0.32,0
257,5.3,644,7.01,0.33,0
220,7.5,539,7.05,0.38,0
295,5.5,412,7,0.41,1
213,5.9,454,7.05,0.37,0
201,6.8,475,7.07,0.26,0
345,6.8,475,7,0.67,1
188,5.9,539,7.14,0.6,0
207,6.8,560,7.17,0.66,0
320,8.3,591,7.08,0.39,0
220,5.7,591,7.12,0.3,0
213,7,623,7.1,0.32,0
264,7.5,655,7.19,0.65,0
195,8.1,612,7.15,0.64,0
182,7.5,465,7.31,0.52,0
201,6.4,444,7.14,0.59,0
232,7.5,750,7.16,0.62,0
169,7.2,718,7.17,0.82,0
238,5.7,655,7.21,0.59,0
201,5.9,665,7.23,0.62,0
69,5,718,7.21,0.57,0
213,4.8,602,7.24,0.48,0
207,6.8,623,7.24,0.53,0
213,6.6,433,7.21,0.57,0
314,6.8,412,7.19,0.32,1
138,6.4,454,7.21,0.89,0
195,8.1,549,7.24,0.57,0
201,8.3,528,7.3,0.49,0
151,7.5,539,7.26,0.55,0
201,8.6,539,7.2,0.67,0
82,7.5,644,7.18,0.45,0
207,5.5,444,7.27,0.45,0
201,8.6,475,7.22,0.64,0
132,8.3,507,7.21,0.44,0
264,4.8,549,7.27,0.78,0
301,6.8,644,7.22,0.69,1
195,5.9,433,7.26,0.7,0
238,6.8,475,7.25,0.6,0
138,8.1,644,7.31,0.31,0
213,6.8,444,7.07,0.43,0
201,7.5,465,7.03,0.37,0
163,7.7,507,7.14,0.31,0
88,7.2,655,7.07,0.28,0
50,8.6,539,7.06,0.39,0
220,6.1,560,7.07,0.28,0
169,8.1,475,7.17,0.34,0
207,7,539,7.12,0.32,0
144,6.8,422,7.1,0.31,0
251,6.4,644,7.12,0.32,0
195,8.1,581,7.15,0.41,0
201,8.3,539,7.12,0.4,0
88,7.7,539,7.12,0.35,0
201,8.6,570,7.11,0.38,0
257,6.8,475,7.14,0.33,0
176,4.8,496,7.15,0.32,0
201,8.3,655,7.15,0.36,0
88,9,539,7.14,0.29,0
232,8.1,412,7.21,0.29,0
320,7.5,401,7.22,0.4,1
201,6.6,560,7.23,0.36,0
69,9,465,7.2,0.52,0
220,5.5,391,7.23,0.29,0
138,8.6,475,7.28,0.27,0
232,6.6,581,7.3,0.31,0
301,6.8,634,7.29,0.43,1
195,7,655,7.3,0.36,0
326,8.3,475,7.35,0.38,1
213,8.3,433,7.35,0.36,0
169,5.9,539,7.29,0.33,0
182,6.8,560,7.18,0.31,0
94,4.8,560,7.32,0.32,0
295,7.2,454,7.35,0.34,1
320,7.5,433,7.46,0.7,1
201,4.6,433,7.37,0.39,0
213,5.7,496,7.49,0.78,0
207,7,528,7.39,0.45,0
94,7.7,486,7.42,0.41,0
295,7,433,7.41,0.35,1
195,8.3,454,7.44,0.3,0
364,8.1,486,7.45,0.49,1
201,8.1,444,7.51,0.51,0
220,6.4,433,7.53,0.62,0
207,7.2,444,7.54,0.42,0
201,7.2,338,7.49,0.67,0
295,7.2,412,7.61,0.41,1
195,8.1,433,7.53,0.53,0
276,8.1,581,7.92,0.61,1
207,6.8,560,8.02,0.6,0
295,7.7,539,8.05,0.6,1
264,7.9,370,7.81,0.58,1
320,9.4,454,7.86,0.61,1
289,11,391,7.65,0.72,1
314,8.3,412,7.23,0.67,1
345,5.9,549,7.7,0.65,1
238,10.7,612,7.77,0.6,1
320,7.7,401,7.7,0.58,1
307,12.3,412,7.62,0.55,1
326,11.2,539,7.57,0.61,1
314,7.5,306,7.64,0.58,1
245,9.4,359,7.71,0.59,1
289,6.1,602,7.59,0.64,1
339,10.7,486,7.58,0.61,1
333,11.2,412,7.66,0.65,1
176,11.6,401,7.82,0.63,0
358,9.2,370,7.59,0.69,1
345,5.5,391,7.68,0.61,1
132,5.9,475,7.62,0.63,0
333,7.2,612,7.64,0.59,1
245,7.5,686,7.56,0.59,0
345,6.8,327,7.58,0.58,1
188,6.4,412,7.57,0.59,0
276,7,348,7.58,0.66,1
264,6.8,412,7.53,0.59,1
295,6.6,359,7.46,0.7,1
238,6.8,380,7.56,0.61,0
289,7.5,433,7.48,0.6,1
188,6.8,507,7.51,0.55,0
276,6.6,380,7.57,0.58,1
326,6.8,264,7.51,0.72,1
307,7,539,7.45,0.78,1
207,7.5,348,7.62,0.62,0
257,5.9,602,7.66,0.61,0
358,8.6,517,7.78,0.58,1
25,4.8,338,7.72,0.55,0
176,4.6,433,7.55,0.42,0
345,5.3,306,7.51,0.38,1
126,6.8,391,7.52,0.72,0
264,7.2,370,7.68,0.66,0
245,7.5,401,7.61,0.63,1
320,8.6,591,7.62,0.71,1
339,7.5,517,7.78,0.73,1
333,6.8,422,7.72,0.82,1
264,18.4,517,7.68,0.62,1
320,20.4,401,7.62,0.68,2
289,19.3,507,7.51,0.71,1
276,18.2,591,7.48,0.7,1
295,19.5,539,7.39,0.68,1
333,20.8,370,7.45,0.55,2
351,21.5,718,7.58,0.38,2
320,20.4,433,7.68,0.42,2
339,21.1,454,7.73,0.65,2
245,7.5,422,8,0.62,0
282,9.2,338,7.4,0.51,1
264,10.7,444,7.8,0.54,1
320,8.1,422,7.6,0.55,1
314,12.7,359,7.5,0.49,1
282,6.8,338,7.8,0.61,1
169,8.1,370,7.9,0.58,0
245,10.5,327,7.4,0.43,1
257,8.6,380,7.5,0.52,1
264,7.7,465,7.6,0.64,1
333,9.2,380,7.4,0.61,1
320,12.7,348,7.3,0.44,1
307,9,370,7.2,0.65,1
276,8.6,338,7.1,0.58,1
270,14.7,465,7.4,0.49,1
282,9.9,422,7.8,0.43,1
301,7.2,370,7.9,0.47,1
295,8.1,401,7.3,0.44,1
307,10.1,391,7.2,0.53,1
264,10.5,444,7.87,0.66,1
301,9.9,359,0.9,0.52,1
270,9,412,7.57,0.32,1
314,8.6,391,0.9,0.56,1
345,8.8,444,7.8,0.31,1
307,8.3,359,7.6,0.68,1
333,8.6,359,8,0.35,1
358,6.8,486,8.3,0.33,1
257,7.5,507,7.3,0.37,1
295,2.9,612,7.85,0.83,1
276,10.7,655,8.4,0.45,1
301,12.7,422,8.95,0.39,1
282,15.6,602,9.5,0.42,1
295,13.4,412,10.05,0.73,1
326,11.8,444,10.6,0.88,1
358,12.5,581,11.15,0.51,2
264,10.3,475,7.49,0.74,1
333,14.9,422,8.26,0.48,2
320,13.8,391,7.38,0.65,2
282,5.5,665,7.8,0.44,1
326,10.7,612,7.9,0.4,1
295,11.8,697,7.6,0.56,1
276,6.1,655,7.4,0.33,1
182,8.1,370,7.5,0.68,0
289,9.4,634,7.1,0.51,1
257,76.8,813,7.9,0.45,1
364,7.2,644,7.5,0.42,1
201,9,623,7.6,0.37,0
333,7,676,7.3,0.69,1
320,12.3,676,7.9,0.5,1
251,6.6,444,7.5,0.63,0
339,5.7,697,8,0.65,1
326,11.2,539,7.3,0.21,1
289,7.5,708,8.1,0.37,1
314,9.2,370,7.4,0.69,1
345,8.3,560,7.8,0.51,1
270,6.6,338,7.1,0.42,1
195,4.8,422,7.9,0.56,0
364,12.9,401,8.4,0.54,1
314,8.1,570,8.1,0.78,1
358,7.2,327,8.2,0.5,1
257,11.2,412,8,0.31,0
245,5.9,686,7.9,0.56,0
276,5.5,348,7.3,0.62,1
326,11.2,708,7.4,0.55,1
282,5.3,834,7.5,0.58,1
270,6.1,697,7,0.4,1
295,4.4,634,7.9,0.53,1
289,5.7,612,7.5,0.67,1
314,11.8,359,7.6,0.52,1
245,6.6,655,7.8,0.59,0
257,7.2,697,7.9,0.64,0
301,6.4,327,8.1,0.67,1
351,12.3,475,7.4,0.45,1
276,7.2,348,7.5,0.69,1
264,6.1,644,7.6,0.33,0
358,11.4,401,7.8,0.54,1
220,7,634,7.9,0.62,0
270,7.7,771,7.1,0.2,1
245,5.5,391,7.8,0.54,0
251,6.4,655,7.5,0.68,0
301,8.1,729,7.6,0.36,1
270,11.8,781,7.4,0.46,1
257,6.6,401,7.9,0.61,0
264,7.9,380,7.2,0.33,1
276,11.2,475,7.5,0.35,1
270,8.6,454,7.52,0.41,1
213,7.5,306,7.63,0.51,0
157,6.8,760,7.71,0.73,0
207,7.5,306,7.72,0.72,0
151,7.2,465,7.53,0.43,0
201,7.7,507,7.82,0.43,0
220,9,338,7.52,0.84,0
207,8.6,454,7.44,0.41,0
151,7.9,380,7.42,0.62,0
163,6.1,296,7.34,0.44,0
276,8.6,486,7.52,0.52,1
270,8.3,465,7.29,0.63,1
69,8.1,422,7.42,0.53,0
307,103.1,232,7.25,0.82,1
31,78.9,433,7.72,0.62,0
320,63.6,306,7.61,0.42,1
314,61.4,359,7.35,0.42,1
270,70.2,750,7.77,0.34,1
276,68,296,7.65,0.53,1
270,65.8,306,8.02,0.64,1
69,74.6,454,7.72,0.56,0
276,81.1,380,7.71,0.71,1
270,68,317,7.51,0.53,1
301,63.6,327,7.7,0.53,1
270,70.2,401,7.51,0.7,1
276,61.4,422,7.44,0.54,1
107,74.6,486,7.53,0.58,0
75,59.2,549,7.5,0.46,0
207,74.6,686,7.41,0.57,1
100,74.6,412,7.51,0.45,0
207,78.9,718,7.29,0.52,1
144,81.1,401,7.41,0.61,0
213,98.7,359,7.34,0.82,1
201,74.6,454,7.33,0.56,1
151,85.5,422,8.12,0.46,0
144,70.2,581,7.43,0.53,0
282,72.4,549,7.62,0.63,1
207,76.8,560,7.42,0.42,1
220,9,454,7.03,0.53,0
276,12.9,401,7.91,0.52,1
282,13.2,433,7.02,0.81,1
264,12.1,560,7.44,0.53,1
195,9.4,539,7.58,0.76,0
188,9.2,444,7.32,0.49,0
226,9,422,7.43,0.71,0
213,9.6,729,7.8,0.49,0
201,9,454,7.01,0.47,0
207,7.7,465,7.51,0.62,0
220,12.3,760,7.02,0.65,0
276,9.4,486,7.04,0.74,1
226,10.3,612,7.05,0.48,0
207,9.4,813,7.01,0.38,1
270,11.4,655,7.05,0.62,1
295,10.7,644,7.08,0.73,1
238,8.3,412,7.06,0.36,0
207,9.4,444,7.1,0.64,0
182,9.2,465,7.4,0.6,0
232,8.8,665,7.5,0.37,0
289,10.7,475,7.35,0.63,1
195,12.5,507,7.34,0.51,0
207,10.7,391,7.29,0.82,0
238,9.9,623,7.28,0.58,0
201,11.4,834,7.25,0.47,0
345,9.6,422,7.37,0.49,1
238,10.3,454,7.41,0.66,0
201,10.5,444,7.28,0.88,0
232,9.9,454,7.45,0.39,0
314,8.3,486,7.41,0.42,1
245,9.2,391,7.58,0.81,0
351,7.2,581,7.8,0.56,1
264,9.9,454,7.4,0.33,1
364,7,391,7.9,0.57,1
377,8.1,549,7.5,0.62,1
282,5.3,697,7.6,0.58,1
276,8.6,570,7.5,0.36,1
320,3.9,507,7.4,0.34,1
276,7.9,433,7.9,0.61,1
370,12.7,317,8.1,0.52,2
207,7,623,7.5,0.59,0
169,6.8,602,8.3,0.44,0
345,4.4,686,8,0.56,1
333,7.2,560,7.6,0.51,1
188,11.4,602,7.9,0.6,0
364,6.8,444,7.5,0.55,1
326,10.1,803,7.4,0.53,1
351,8.1,570,7.3,0.3,1
377,5.3,623,7.2,0.58,1
307,8.6,750,7.4,0.63,1
295,12.5,560,7.9,0.51,1
213,7,718,7.5,0.47,0
226,4.4,760,7.8,0.32,0
301,7.2,528,7.9,0.59,2
314,6.8,602,7.4,0.55,2
270,10.5,475,7.8,0.37,2
295,7.9,623,7.3,0.54,1
245,7.5,570,7,0.69,1
282,12.9,612,7.9,0.51,1
264,7.7,380,7.2,0.36,1
339,8.1,560,7.5,0.73,1
289,7,444,7.6,0.58,1
320,65.8,528,7.5,0.52,2
345,76.8,676,7.1,0.7,2
333,7.2,549,7.4,0.66,1
301,111.8,486,7.5,0.54,1
314,7.9,581,7.9,0.58,1
326,7.5,612,8.2,0.5,1
358,8.3,517,8.1,0.45,1
320,6.6,602,8,0.52,1
370,125,528,8.1,0.57,2
339,6.8,560,8,0.61,1
226,15.1,549,7.2,0.59,1
326,7.5,433,8.1,0.76,1
232,11.4,570,8.1,0.54,1
220,7.7,517,8.3,0.73,0
301,7.2,591,8,0.75,1
351,5.7,581,7.4,0.61,1
282,12.7,465,7.5,0.63,1
364,7.7,602,7.9,0.53,1
339,11,623,8.3,0.67,2
383,118.4,665,8.1,0.6,2
370,7,528,7.5,0.56,1
295,8.1,803,8,0.32,1
270,9.4,539,8.3,0.69,1
377,8.6,549,8.1,0.55,1
220,7.2,507,8,0.38,0
207,11.2,317,7.4,0.32,0
264,7.7,539,7.9,0.49,1
220,7,781,7.5,0.54,0
213,12.5,549,7.8,0.1,1
370,6.6,591,7.3,0.38,1
383,14,718,7.8,0.41,2
351,8.6,771,7.9,0.45,1
377,11.2,623,7.8,0.64,2
364,11.4,602,7.3,0.33,2
333,12.3,686,7.4,0.57,1
301,6.8,539,7.5,0.3,1
201,8.3,591,7.6,0.68,0
358,10.7,665,7.3,0.62,2
345,8.1,634,7.1,0.56,1
370,7.2,581,7.3,0.34,1
257,4.4,507,7.1,0.75,0
339,8.3,549,7.5,0.31,1
377,7.9,602,7.8,0.55,1
351,9.6,623,7.9,0.43,1
339,6.8,570,7.5,0.79,1
201,12.9,433,7.8,0.46,1
345,7.5,528,7.9,0.82,1
333,8.3,665,7.3,0.3,1
351,7,549,7.5,0.37,1
295,14.5,612,8.2,0.38,1
282,9.2,676,8,0.62,1
257,11.6,433,7.4,0.73,1
270,12.1,401,7.9,0.36,1
289,14.5,549,7.3,0.64,1
301,13.6,496,7.8,0.6,1
295,12.5,412,7.2,0.37,1
276,15.4,433,7.3,0.63,1
326,13.4,454,7.9,0.51,1
270,13.8,845,7.5,0.82,1
289,14.7,750,8.1,0.58,1
314,8.3,591,8,0.47,1
345,9.9,507,7.9,0.49,1
307,6.8,370,7.3,0.66,1
339,7.5,475,7.2,0.88,1
314,10.3,676,7.9,0.39,1
333,12.7,887,7.4,0.42,1
351,14.3,560,7.6,0.37,1
358,10.1,602,7.8,0.32,1
301,10.3,412,7.3,0.77,1
326,11.8,444,7.4,0.4,1
314,8.1,644,7.8,0.61,1
320,8.6,380,7.94,0.69,1
358,12.9,422,7.02,0.48,1
345,13.6,444,7.85,0.38,1
314,14.9,359,7.04,0.43,1
333,13.8,401,7.62,0.51,1
339,8.3,380,7.67,0.32,1
326,10.3,507,7.88,0.71,1
351,10.7,623,7.96,0.51,1
301,14.3,370,7.05,0.95,1
251,13.2,496,7.87,0.4,1
326,12.7,454,7.01,0.42,1
289,16,327,7.03,0.5,1
276,17.3,454,7.91,0.46,1
245,6.6,475,7.02,0.51,1
345,12.7,412,7.44,0.29,1
320,14.3,465,7.58,0.44,1
270,13.2,422,7.32,0.68,1
333,14.3,507,7.43,0.61,2
358,13.2,444,7.8,0.29,2
245,13.8,391,7.01,0.64,1
314,12.7,591,7.51,0.56,1
307,12.9,539,7.34,0.85,1
326,14.9,655,7.37,0.87,1
320,14.3,422,7.41,0.42,1
345,10.5,570,7.43,0.42,1
307,11.6,496,7.52,0.93,1
295,2.9,612,7.35,0.52,1
276,10.7,655,7.47,0.51,1
301,12.7,422,8.19,0.57,1
282,15.6,602,7.38,0.82,1
295,13.4,412,7.35,0.7,1
